"","individual","Status","syt7b","sox6","LOC111577669","LOC111563338","tmtc2b","sema3ab","LOC111564869","immp2l","LOC111587547","LOC129348729","acer2","gli1","LOC111583974","wsb1","dnmt3bb.1","LOC118469126","LOC118471259","tmeff1a","il1rapl1a","clu","ccdc85cb","LOC111570546","LOC111568198","fgfbp3","LOC111566120","LOC111583840","kcnh6a","LOC111584011","LOC111582900","si:dkey-288a3.2","LOC111579712","LOC129348282"
"1","A12D","E",0.106123991633258,0.701622933868744,0.0262518422338837,0.172062053023552,0.786971551673935,0.0565204644867155,0.28540736655687,0.0485975941945187,0.0736642751901259,0.0085789287462754,0.0183596404229242,0.766773955075921,0.200859442360509,0.584995982620296,0.811015223724558,0.0806011753302982,0.631139487335345,0.603636328063608,0.628824991280234,0.401781274471881,0.82448329786276,0.160928960848724,0.72938508876086,1.08628943527351,0.0539516804543463,0.231613273534521,0.010255356926655,0.0290408495832877,0.0270075114183819,0.0272247138617544,0.0674915132667714,0.0212105982940625
"2","A22D","D",0.0605213843096897,0.92310578408837,0.0674608542563763,0.163867460232339,0.687943213603477,0.162395100324979,0.312519401340433,0.104030102367701,0.131977487615477,0.0390064038947913,0.042126023830515,0.582769490016332,0.358312193417098,0.891383295035175,0.676599205917758,0.15288653726128,0.555755195773163,0.772307288368807,0.652462666768797,0.554313021598501,0.615260159240781,0.211502892629008,0.799712891249229,1.39244438593932,0.132504120776197,0.177412812143507,0,0.0280758622204306,0,0,0.0476940871238089,0.0378136422965183
"3","A25D","D",0.117863696493629,0.989072847057107,0.0312238418178897,0.226311220297223,1.12842184441204,0.205379347180238,0.421093302200415,0.130715112667705,0.143221493143968,0.0346636343001881,0.103179309643761,1.17401698206143,0.436516598955144,0.673833645975311,0.727110275213618,0.123567142742174,0.736008408856296,1.13027300429177,0.803220603536776,0.67653779312692,1.04191292484166,0.299069283379406,1.02566393516761,1.45626419511853,0.0592902716528976,0.235834081514242,0.0101260736386305,0.0207383518821175,0.0140524612954313,0.0180277144008255,0.0345177587460593,0.0216153766955959
"4","B21F","F",0.0448034720663175,1.24894316505115,0.112967210368268,0.136161791415334,0.726926249882471,0.0706821911337552,0.28008005913763,0.0899220159145198,0,0.148839337779182,0.00845435597380412,0.628790642450407,0.188222134973485,0.715083360626784,0.581161487834339,0.198533633511135,0.427737027653052,0.811705777064433,0.483629742487792,0.748940284989279,0.603359311564504,0.187703340553604,0.778848949930383,1.36459538047205,0,0.296987251893815,0.0363778794036657,0.032308490627395,0.0159153482018208,0.0382323678186454,0.12897908159898,0.161218386455661
"5","B21M","M",0.151228105032264,1.04590246186257,0.0755473159479843,0.153371543994406,1.05798804558299,0.286444352549503,0.373899664783529,0.0451691941619668,0.0559126830658979,0.0407131393371149,0.101695858044194,0.576083325371516,0.549305006778194,0.740155519382929,0.528210104559193,0.114721235659074,0.457926475838118,0.97292821440687,0.655929160467654,0.846937888929641,0.881074338503748,0.267686651057044,0.909245098767833,2.21621395080454,0.0125214390233944,0.226763975210975,0.0208133265226777,0.0984051463015108,0,0.0210073833942801,0.0230725765562005,0.0548672092449808
"6","B23F","F",0.139952241488738,1.29127681348618,0.141224338089994,0.063082111075364,0.680986703326684,0.0533060528789592,0.11570475614923,0.0924545499587314,0.0433059536199523,0.0794713241018775,0.0504488638280858,0.470632317733428,0.211555705194981,1.00318894982696,0.534442444594286,0.275192588283355,0.567707119710864,0.545924780325995,0.583674132831093,0.808394949055418,0.61496929852804,0.113763226296697,0.7201623732386,1.2359454438847,0.0118366326564586,0.397776766403051,0.0526039094624875,0.103040530968006,0.0234526842796244,0.068110513897593,0.0859134588891158,0.0718750998883059
"7","B23M","M",0.0669191889715495,1.0721492079197,0.0951536924107114,0.261619294275899,1.17295113880086,0.173393508326634,0.398798817330265,0.0562726958858318,0.0265694073216995,0.0424376047687421,0.102908635900224,1.17402439904347,0.405901740770662,0.805376173548476,0.733273162430953,0.0549425850175453,0.638790983554307,0.861954529004478,1.11823679696546,0.5820338352488,1.05923195527451,0.377577716729812,0.987811958024134,1.51504701733627,0.0635862002144837,0.283721696989766,0,0.0515623596403179,0,0.00980680975529392,0.115274438778648,0.0220448735069858
"8","C13F","F",0.0688104364914579,1.02294015214852,0.0713623561232446,0.0389859703419026,0.446086405392521,0.0570822117488387,0.141001063669365,0.0774423825881082,0.0217715844519343,0.101014588150102,0.0846802004372777,0.300909866090992,0.312346223487682,0.737602307558122,0.462020489687426,0.172566288277817,0.301705531219619,0.58744390596737,0.285285924517926,0.496412057356892,0.519713757258781,0.124749738535791,0.506452080668755,0.74202298830278,0.0259432895234741,0.13792567772526,0.0101154701370522,0.0726181946871277,0.0268132980333362,0.0394594415626568,0.0880920630733847,0.0913089855419025
"9","C13M","M",0.086753156619948,0.966340436576634,0.0313507201006332,0.186543133073391,0.67769109608496,0.168034985295059,0.364579688614004,0.0332449317525143,0.070142818143898,0.0394136572998256,0.107429686143026,0.730916333915568,0.552773817941809,0.475778736369521,0.581692966277947,0.0449819711783682,0.453224444487323,0.783262277217267,0.639398409441981,0.511244849089026,0.690221985191483,0.158357456362274,0.749607921022548,1.37026776817767,0.0163827737630411,0.234661796973492,0,0.0371981003394234,0.00175711419947476,0,0.108209768077574,0.0522045719193667
"10","C14F","F",0.0205689234909646,0.935147976263748,0.0860575758943562,0.102487439861979,0.717857153942789,0.180943409000508,0.317320945845694,0.082086762989733,0.0321296215329229,0.153665369598393,0.0366910911032117,0.472076923749217,0.220067459475829,0.880867906859326,0.438731156221433,0.244002951110799,0.419275473895862,0.844280362201761,0.621036174245974,0.946737021019806,0.542415108417592,0.150256350965682,0.670814029066807,1.35618038540268,0,0.317632773611766,0.0185094274173779,0.0236944930079173,0.0352195410754894,0.0515683477869611,0.0958390381198258,0.351555934485477
